Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
0, 40, 0, 0.001, 0, 0.01
1, 40, 0, 0.001, 0, 0.01
2, 40, 0, 0.001, 0, 0.01
3, 40, 0, 0.001, 0, 0.01
4, 40, 0.508874, 0.001, 564.621, 0.01
5, 40, 0.416582, 0.001, 369.285, 0.01
6, 40, 0.298501, 0.001, 264.94, 0.01
7, 40, 0.146039, 0.001, 131.076, 0.01
8, 40, 0.188503, 0.001, 168.681, 0.01
9, 40, 0.293043, 0.001, 261.129, 0.01
10, 40, 0.295726, 0.001, 263.537, 0.01
11, 40, 0.387375, 0.001, 345.037, 0.01
12, 40, 0.420222, 0.001, 373.668, 0.01
13, 40, 0.429193, 0.001, 381.41, 0.01
14, 40, 0.548164, 0.001, 486.423, 0.01
15, 40, 0.462936, 0.001, 410.686, 0.01
16, 40, 0.441477, 0.001, 392.034, 0.01
17, 40, 0.435835, 0.001, 387.17, 0.01
18, 40, 0.434415, 0.001, 385.949, 0.01
19, 40, 0.554349, 0.001, 491.803, 0.01
20, 40, 0.585792, 0.001, 519.058, 0.01
21, 40, 0.594718, 0.001, 526.746, 0.01
22, 40, 0.476155, 0.001, 422.046, 0.01
23, 40, 0.446404, 0.001, 396.262, 0.01
24, 40, 0.437836, 0.001, 388.883, 0.01
25, 40, 0.435348, 0.001, 386.744, 0.01
26, 40, 0.556068, 0.001, 493.298, 0.01
27, 40, 0.586569, 0.001, 519.727, 0.01
28, 40, 0.595393, 0.001, 527.326, 0.01
29, 40, 0.475037, 0.001, 421.023, 0.01
30, 40, 0.446966, 0.001, 396.708, 0.01
31, 40, 0.438747, 0.001, 389.63, 0.01
32, 40, 0.436297, 0.001, 387.525, 0.01
33, 40, 0.558847, 0.001, 495.713, 0.01
34, 40, 0.587751, 0.001, 520.745, 0.01
35, 40, 0.596349, 0.001, 528.148, 0.01
36, 40, 0.599044, 0.001, 530.465, 0.01
37, 40, 0.599649, 0.001, 530.984, 0.01
38, 40, 0.47674, 0.001, 422.497, 0.01
39, 40, 0.447419, 0.001, 397.104, 0.01
